COLUMN_NAME;DATA_TYPE;NULLABLE;DATA_DEFAULT;COMMENTS
ORDER_ID;NUMBER(10,0);No;1;PK2, (Sequence Generated)
CLIENT_ID;NUMBER(9,0);No;2;PK1, FK Reference to CLIENTS
ORDER_NUMBER;VARCHAR2(50 CHAR);No;3;ASN Number
CREATION_TYPE;NUMBER(2,0);No;;Creation Type - Indicates method by which the order was created e.g.. Import manual
BUSINESS_PARTNER_ID;VARCHAR2(10 CHAR);Yes;;Supplier (Vendor)
EXT_PURCHASE_ORDER;VARCHAR2(50 CHAR);Yes;;External system purchase order id
CONS_RUN_ID;NUMBER(15,0);Yes;;Consolidation run ID
O_FACILITY_ALIAS_ID;VARCHAR2(16 CHAR);Yes;;Origin facility alias ID
O_FACILITY_ID;NUMBER(9,0);Yes;;Facility of the supplier where the PO goods are being shipped from
O_DOCK_ID;VARCHAR2(8 CHAR);Yes;;Dock ID
O_ADDRESS_1;VARCHAR2(75 CHAR);Yes;;First line of the origin address
O_ADDRESS_2;VARCHAR2(75 CHAR);Yes;;Second line of the origin address
O_ADDRESS_3;VARCHAR2(75 CHAR);Yes;;Third line of the origin address
O_CITY;VARCHAR2(40 CHAR);Yes;;Origin City
O_STATE_PROV;VARCHAR2(3 CHAR);Yes;;Origin State - ISO 3166-2 Country subdivision code
O_POSTAL_CODE;VARCHAR2(10 CHAR);Yes;;Origin Postal Code
O_COUNTY;VARCHAR2(40 CHAR);Yes;;Origin County
O_COUNTRY_CODE;VARCHAR2(2 CHAR);Yes;;Origin country code - ISO 3166-1 Country code
D_FACILITY_ALIAS_ID;VARCHAR2(16 CHAR);Yes;;Destination facility alias ID
D_FACILITY_ID;NUMBER(9,0);Yes;;Destination facility ID
D_DOCK_ID;VARCHAR2(8 CHAR);Yes;;Dock ID
D_ADDRESS_1;VARCHAR2(75 CHAR);Yes;;First line of the destination address
D_ADDRESS_2;VARCHAR2(75 CHAR);Yes;;Second line of the destination address
D_ADDRESS_3;VARCHAR2(75 CHAR);Yes;;Third line of the destination address
D_CITY;VARCHAR2(40 CHAR);Yes;;Destination city
D_STATE_PROV;VARCHAR2(3 CHAR);Yes;;Destination state/province - ISO 3166-2 Country subdivision code
D_POSTAL_CODE;VARCHAR2(10 CHAR);Yes;;Destination postal code
D_COUNTY;VARCHAR2(40 CHAR);Yes;;Destination county
D_COUNTRY_CODE;VARCHAR2(2 CHAR);Yes;;Destination country code - ISO 3166-1 Country code
BILL_TO_NAME;VARCHAR2(91 CHAR);Yes;;Bill to information
BILL_FACILITY_ALIAS_ID;VARCHAR2(16 CHAR);Yes;;Bill To Facility Alias Id
BILL_FACILITY_ID;NUMBER(8,0);Yes;;Bill To Facility Id
BILL_TO_ADDRESS_1;VARCHAR2(75 CHAR);Yes;;First address line of Bill To
BILL_TO_ADDRESS_2;VARCHAR2(75 CHAR);Yes;;Second address line of Bill To
BILL_TO_ADDRESS_3;VARCHAR2(75 CHAR);Yes;;Third address line of Bill To
BILL_TO_CITY;VARCHAR2(50 CHAR);Yes;;Bill to city
BILL_TO_STATE_PROV;VARCHAR2(3 CHAR);Yes;;Bill to state - ISO 3166-2 Country subdivision code
BILL_TO_COUNTY;VARCHAR2(40 CHAR);Yes;;Bill to county
BILL_TO_POSTAL_CODE;VARCHAR2(10 CHAR);Yes;;Bill to postal code
BILL_TO_COUNTRY_CODE;VARCHAR2(2 CHAR);Yes;;Bill to country code - ISO 3166-1 Country code
BILL_TO_PHONE_NUMBER;VARCHAR2(32 CHAR);Yes;;Bill to phone
BILL_TO_FAX_NUMBER;VARCHAR2(30 CHAR);Yes;;Bill to FAX number
BILL_TO_EMAIL;VARCHAR2(256 CHAR);Yes;;Bill to county
INCOTERM_FACILITY_ID;NUMBER(8,0);Yes;;Inco term Location ID
INCOTERM_FACILITY_ALIAS_ID;VARCHAR2(16 CHAR);Yes;;Inco term Location
INCOTERM_LOC_AVA_DTTM;DATE;Yes;;Inco term Location Avl. Date
INCOTERM_LOC_AVA_TIME_ZONE_ID;NUMBER(8,0);Yes;;Inco term Location Ava Time Zone ID
PICKUP_TZ;NUMBER(4,0);No;9 ;Pickup time zone
DELIVERY_TZ;NUMBER(4,0);No;9 ;Delivery time zone
PICKUP_START_DTTM;DATE;Yes;;Pickup start date time
PICKUP_END_DTTM;DATE;Yes;;Pickup end date time
DELIVERY_START_DTTM;DATE;Yes;;Delivery start date
DELIVERY_END_DTTM;DATE;Yes;;Delivery end date
ORDER_DATE_DTTM;DATE;Yes;;Order Date
ORDER_RECON_DTTM;DATE;Yes;;Order Reconciliation Date/time
DSG_SERVICE_LEVEL_ID;NUMBER(12,0);Yes;;Designated Service Level ID
DSG_CARRIER_ID;NUMBER(12,0);Yes;;Designated Carrier ID
DSG_EQUIPMENT_ID;NUMBER(12,0);Yes;;Designated equipment for order. Defines a specific type of equipment to use for shipping this order. Planning components should respect this designation.
DSG_TRACTOR_EQUIPMENT_ID;NUMBER(12,0);Yes;;Designated Tractor Equipment ID
DSG_MOT_ID;NUMBER(12,0);Yes;;Designated Mode of transportation ID
BASELINE_MOT_ID;NUMBER(12,0);Yes;;Base Line Mode of Transportation ID
BASELINE_SERVICE_LEVEL_ID;NUMBER(12,0);Yes;;Base Line Service Level ID
PRODUCT_CLASS_ID;NUMBER(8,0);Yes;;Product Class Id
PROTECTION_LEVEL_ID;NUMBER(8,0);Yes;;Protection Level Id
PATH_ID;NUMBER(10,0);Yes;;Path ID
PATH_SET_ID;NUMBER(10,0);Yes;;Path Set ID
DRIVER_TYPE_ID;NUMBER(12,0);Yes;;Driver Type Id
UN_NUMBER_ID;NUMBER(12,0);Yes;;UN number ID
BLOCK_AUTO_CREATE;NUMBER(1,0);No;0 ;Block Auto Create - Flag indicating the order should not be automatically created on shipments
BLOCK_AUTO_CONSOLIDATE;NUMBER(1,0);No;0 ;Block Auto Consolidate - Flag indicating the order should not be automatically consolidated on shipments
HAS_SPLIT;NUMBER(1,0);No;0 ;Flag to indicate whether the DO has been split
IS_BOOKING_REQUIRED;NUMBER(1,0);No;0 ;Booking Required flag
IS_CANCELLED;NUMBER(1,0);No;0 ;Is cancelled flag - flag indicating if the order is cancelled
IS_HAZMAT;NUMBER(1,0);No;0 ;Is hazardous material
IS_IMPORTED;NUMBER(1,0);No;0 ;Is imported flag
IS_PARTIALLY_PLANNED;NUMBER(1,0);No;0 ;Is partially planned
IS_PERISHABLE;NUMBER(1,0);No;0 ;Is Perishable - does order have perishable goods?
IS_SUSPENDED;NUMBER(1,0);No;0 ;Is suspended - Indicates Whether the Order is Suspended for WM Import
NORMALIZED_BASELINE_COST;NUMBER(13,4);Yes;;Normalized Base Line Cost - Baseline cost converted to the Shippers normalization currency
BASELINE_COST_CURRENCY_CODE;VARCHAR2(3 CHAR);Yes;;Base Line Cost currency code
ORIG_BUDG_COST;NUMBER(13,4);Yes;;Original Budgeted Cost - Transportation cost
BUDG_COST;NUMBER(13,4);Yes;;Budgeted Cost
ACTUAL_COST;NUMBER(13,4);Yes;;Actual Cost - transportation cost
BASELINE_COST;NUMBER(13,4);Yes;;Base Line Cost -Least-expensive way to ship an order individually
TRANS_RESP_CODE;VARCHAR2(3 CHAR);Yes;;Transportation Responsible Code - Code indicating the responsible party for the order
BILLING_METHOD;NUMBER(2,0);Yes;;Freight Billing method - Prepaid or Collect
PRIORITY;NUMBER(3,0);Yes;;Priority of the order
